sucursal_id,sucursal,direccion,telefono,estado
C-72pY,AGS-SVu,Privada Norte Zelaya 134 328,+41(7)6995893084,AGS
C-41tT,SON-aHW,Callejon Gutierrez 258 636,(553)445-2016x733,SON
C-59hj,SLP-lxZ,Cerrada Sur Sanabria 605 805,(140)904-7730x56861,SLP
C-16ZQ,COL-ojJ,"Ampliacion Uruguay 419 Edif. 244 , Depto. 201",313-670-0643x191,COL
C-98qg,VER-Bun,Andador Tamaulipas 688 990,+03(4)3041369348,VER
C-57zL,SLP-TaV,"Retorno Jasso 468 Edif. 276 , Depto. 649",045-255-7578,SLP
C-62WT,ZAC-Xws,Prolongacion Republica de Moldova 260 Interior 072,837.796.2618,ZAC
C-08xq,QRO-kBv,"Pasaje Anguiano 150 Edif. 561 , Depto. 921",(861)662-6165x962,QRO
C-53yG,SON-mgm,Peatonal Ocasio 687 Interior 627,1-429-832-1627,SON
C-23tV,SIN-jkO,Calzada Burkina Faso 457 281,1-936-662-9896x123,SIN
